_time,content,子串类型明细,子串类型模式,模式长度,是否包含中文,切分的结果,切分后的长度,event_key,EventId,EventTemplate,star_ratio,Occurrences,ParameterList
2021-07-29T10:44:45.963+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,28,['正在运行']
2021-07-29T10:44:45.962+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,18,['停止']
2021-07-29T10:44:45.933+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,29,['正在运行']
2021-07-29T10:44:45.933+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,30,['停止']
2021-07-29T10:44:45.933+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,19,['正在运行']
2021-07-29T10:44:45.933+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,31,['正在运行']
2021-07-29T10:44:45.932+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,20,['停止']
2021-07-29T10:44:45.932+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,32,['停止']
2021-07-29T10:44:45.898+0800,生成以下严重警告: 10。内部错误状态为 1203。,-,-,-,-,-,-,-,76,生成 以下 严重 警告 :   10 。 内部 错误 状态 为   1203 。,-,1,[]
2021-07-29T10:44:45.898+0800,终端服务器安全层在协议流中检测到错误，并已取消客户端连接。 客户端 IP: 192.168.100.132。,-,-,-,-,-,-,-,77,终端服务器 安全 层 在 协议 流中 检测 到 错误 ， 并 已 取消 客户端 连接 。   客户端   IP :   192.168.100.132 。,-,1,[]
2021-07-29T10:44:45.898+0800,生成以下严重警告: 10。内部错误状态为 1203。,-,-,-,-,-,-,-,76,生成 以下 严重 警告 :   10 。 内部 错误 状态 为   1203 。,-,2,[]
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,33,['停止']
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,34,['正在运行']
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,35,['停止']
2021-07-29T10:44:45.898+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,21,['正在运行']
